ts	phase	decision	why	evidence	result
2026-09-04T01:46:35+12:00	frame	Kept the live VM out of the first feedback loop	The local stack must expose setup and grading defects without risking learner data	compose.test.yaml	open
2026-09-04T01:48:00+12:00	simulator	Kept topic 16 unchanged and moved the diagnosis to Moodle and CodeRunner	The pinned Jobe image ran every topic 16 sample and variant successfully	docker run jobe-go:1.27.1 simulate-grader-go.py topic-16.xml	VERIFIED
2026-09-04T01:53:01+12:00	reproduction	Reproduced WAT 16.1 three times through Moodle and Jobe	Each run failed when Go exceeded Jobe's process limit while running vet	scripts/moodle/diagnose-question.php question 70	VERIFIED red
2026-09-04T01:53:01+12:00	fix	Limited Go grading to one worker and disabled implicit vet during go test	Jobe limits sandbox processes and the course already runs go vet as a separate authoring check	prototype XML and tools/simulate-grader-go.py	pending full-stack proof
2026-09-04T02:23:26+12:00	grading	Accepted the serial Go execution fix	Two full Moodle runs passed all 82 Go questions and the same Jobe stack passed all 75 Python questions	commit b7434ab	VERIFIED
2026-09-04T02:23:26+12:00	imports	Scoped topic validation to the imported question IDs	An unrelated course failure must not control a committed topic import	scripts/moodle/sync-topic.php	topic 05 reports 3 passes and 0 fails
2026-09-04T02:23:26+12:00	imports	Kept the transaction and attempt guard	Injected failure and preview attempt both exited 1 with byte-identical course state	scripts/moodle/course-state.php and scripts/moodle/rehearsal-attempt.php	VERIFIED
2026-09-04T02:23:26+12:00	imports	Accepted replace-and-rebuild convergence	Repeated topic 05 sync kept course, bank, quiz, question count, and slot state stable	scripts/rehearse.sh	VERIFIED
2026-09-04T02:23:26+12:00	browser	Enabled reverse-proxy mode only in the local port-forwarded Compose override	Moodle saw container port 8080 and redirected forever when wwwroot used host port 8081	compose.test.yaml	login returns HTTP 200
2026-09-04T02:23:26+12:00	browser	Kept Playwright temporary and added a login HTTP check to the Bash rehearsal	The browser proved both compiler messages without adding a Node dependency to the repository	AppData/Local/Temp/moodle-browser-feedback.js	VERIFIED
2026-09-04T08:59:25+12:00	rehearsal	Accepted the isolated Moodle setup and recovery path	A cold run rebuilt both courses, tested injected failures and attempt refusal, repeated bootstrap and topic sync, and graded every stored answer	scripts/rehearse.sh	VERIFIED 157/157
2026-09-04T09:17:01+12:00	deployment	Version existing CodeRunner prototypes through Moodle during setup	Container deployment alone cannot update prototype templates already stored in the question bank	scripts/moodle/sync-prototypes.php	VERIFIED update then no-op, Go 82/82, Python 75/75
2026-09-04T09:29:19+12:00	production	Promoted main and deployed the proven stack and course updates	The live VM now runs the rebuilt Jobe image and current Moodle question versions	VM main e2dca4e and moodle.alanjam.com	VERIFIED Go 82/82, Python 75/75, HTTPS 200
2026-09-04T23:49:18+12:00	content audit	Accepted the 38 repaired Go contracts and retained 44 intentional puzzles or generalisation checks	Each of the 82 questions was judged against its Goal, starter, reading, visible examples, hidden cases, and reference answer	.audit/go-question-solvability.md	VERIFIED cold rehearsal Go 82/82 and Python 75/75
2026-09-04T23:54:27+12:00	production content	Published 17 of 19 audited Go topic updates without deleting attempts	Topics 02 and 03 were refused before mutation because their quizzes have attempts; the mixed-version live course still grades every reference answer	VM main 187bf62 and moodle.alanjam.com	VERIFIED Go 82/82, HTTPS 200; topics 02 and 03 pending
2026-09-05T00:02:42+12:00	production content	Completed the audited Go topic rollout after explicit authorisation to finish the imports	Removed only alan's finished attempts 5 and 6 through Moodle's quiz API, then imported Topics 02 and 03	VM main b2cf732 and moodle.alanjam.com	VERIFIED all 19 topics live, Go 82/82, HTTPS 200
